Date,Average_Housing_Price,Weekly_Earnings,Employment_Rate,Benefit Caseload,Housing Supply,Euro Rate,Interest Rate
2009/1/1,270949,667.0825215,61.03662469,719898,1043,1.0919,1.5
2009/2/1,267474,667.0825215,61.33060891,722574,1043,1.1264,1
2009/3/1,264709,667.0825215,60.67390072,729998,1043,1.0867,0.5
2009/4/1,262661,663.9416625,60.31009261,735353,937,1.1157,0.5
2009/5/1,267629,663.9416625,59.96674894,739863,937,1.1295,0.5
2009/6/1,271488,663.9416625,59.62360942,748062,937,1.1682,0.5
2009/7/1,278122,663.1576144,59.28835582,753864,1360,1.1622,0.5
2009/8/1,280566,663.1576144,59.79237301,758259,1360,1.1597,0.5
2009/9/1,286374,663.1576144,59.54305454,763732,1360,1.1212,0.5
2009/10/1,287743,679.3576165,59.71728981,769430,1373,1.0928,0.5
2009/11/1,285663,679.3576165,61.7159322,772580,1373,1.1126,0.5
2009/12/1,289176,679.3576165,61.7159322,778276,1373,1.1127,0.5
2010/1/1,299459,688.531657,61.7159322,781814,1367,1.1327,0.5
2010/2/1,298420,688.531657,61.03865817,790646,1367,1.1415,0.5
2010/3/1,300260,688.531657,59.29311273,792885,1367,1.1092,0.5
2010/4/1,301876,691.7418702,59.38528885,797710,1757,1.1436,0.5
2010/5/1,301641,691.7418702,59.5674375,799559,1757,1.1685,0.5
2010/6/1,304616,691.7418702,59.64830652,803078,1757,1.2082,0.5
2010/7/1,313428,679.1837393,59.78822085,805920,1647,1.1959,0.5
2010/8/1,311152,679.1837393,59.78982509,807212,1647,1.2132,0.5
2010/9/1,310560,679.1837393,60.14194765,811039,1647,1.1901,0.5
2010/10/1,306318,691.916021,59.97073004,812363,1143,1.1412,0.5
2010/11/1,302206,691.916021,59.34549902,813715,1143,1.1701,0.5
2010/12/1,305486,691.916021,59.34549902,816556,1143,1.1802,0.5
2011/1/1,308301,694.7305295,59.34549902,817005,2027,1.1817,0.5
2011/2/1,305350,694.7305295,59.41702655,819824,2027,1.1815,0.5
2011/3/1,307347,694.7305295,60.24901388,820226,2027,1.1527,0.5
2011/4/1,314735,707.4952042,60.11150556,818302,2037,1.1331,0.5
