Date,Average_Housing_Price,Weekly_Earnings,Employment_Rate,Benefit Caseload,Housing Supply,Euro Rate,Interest Rate
2009/1/1,-1.790378354,-1.151831326,-1.015627592,0.230935002,-0.780859823,-1.325376983,0.288865814
2009/2/1,-1.825122158,-1.151831326,-0.903237576,0.247463754,-0.780859823,-0.814495314,-0.040286924
2009/3/1,-1.852767227,-1.151831326,-1.154296779,0.293319306,-0.780859823,-1.402379438,-0.369439661
2009/4/1,-1.873243576,-1.182108984,-1.293380432,0.326395341,-0.982648374,-0.972942672,-0.369439661
2009/5/1,-1.823572434,-1.182108984,-1.42464054,0.354252094,-0.982648374,-0.768590004,-0.369439661
2009/6/1,-1.784989315,-1.182108984,-1.555822601,0.40489456,-0.982648374,-0.195514045,-0.369439661
2009/7/1,-1.718661144,-1.189667152,-1.68398988,0.440731563,-0.177397836,-0.284363031,-0.369439661
2009/8/1,-1.694225502,-1.189667152,-1.491304368,0.467878,-0.177397836,-0.321383441,-0.369439661
2009/9/1,-1.636155859,-1.189667152,-1.586618691,0.501682881,-0.177397836,-0.891497768,-0.369439661
2009/10/1,-1.6224683,-1.033500283,-1.520008637,0.536877511,-0.152650183,-1.312049635,-0.369439661
2009/11/1,-1.643264591,-1.033500283,-0.755928681,0.556334002,-0.152650183,-1.018847981,-0.369439661
2009/12/1,-1.608140855,-1.033500283,-0.755928681,0.591516279,-0.152650183,-1.017367165,-0.369439661
2010/1/1,-1.505329191,-0.945063184,-0.755928681,0.613369315,-0.164072177,-0.721203878,-0.369439661
2010/2/1,-1.515717338,-0.945063184,-1.014850194,0.667921609,-0.164072177,-0.590892032,-0.369439661
2010/3/1,-1.497320619,-0.945063184,-1.682171316,0.681751159,-0.164072177,-1.06919574,-0.369439661
2010/4/1,-1.4811635,-0.914116957,-1.646932433,0.711553562,0.578357398,-0.559794887,-0.369439661
2010/5/1,-1.483513081,-0.914116957,-1.577297098,0.722974213,0.578357398,-0.191071595,-0.369439661
2010/6/1,-1.453768386,-0.914116957,-1.546380913,0.744709893,0.578357398,0.396812529,-0.369439661
2010/7/1,-1.365664099,-1.035176446,-1.492891737,0.762263971,0.368954184,0.214672107,-0.369439661
2010/8/1,-1.388420041,-1.035176446,-1.492278437,0.770244221,0.368954184,0.47085335,-0.369439661
2010/9/1,-1.394338985,-1.035176446,-1.357662163,0.793882313,0.368954184,0.128784754,-0.369439661
2010/10/1,-1.436751421,-0.912438155,-1.423118567,0.802060216,-0.590493266,-0.595334482,-0.369439661
2010/11/1,-1.477864089,-0.912438155,-1.662144064,0.810411065,-0.590493266,-0.167378532,-0.369439661
2010/12/1,-1.445069937,-0.912438155,-1.662144064,0.827958967,-0.590493266,-0.017816073,-0.369439661
2011/1/1,-1.416924957,-0.885306493,-1.662144064,0.830732289,1.092347103,0.004396174,-0.369439661
2011/2/1,-1.446429695,-0.885306493,-1.634799126,0.848144304,1.092347103,0.001434541,-0.369439661
2011/3/1,-1.426463256,-0.885306493,-1.316730799,0.850627323,1.092347103,-0.425040592,-0.369439661
2011/4/1,-1.35259643,-0.762255936,-1.369300159,0.838743422,1.111383759,-0.715280613,-0.369439661
2011/5/1,-1.451828732,-0.762255936,-1.457700828,0.867996101,1.111383759,-0.608661829,-0.369439661
2011/6/1,-1.439150993,-0.762255936,-1.523619364,0.902023342,1.111383759,-0.818937763,-0.369439661
2011/7/1,-1.332789962,-0.72220012,-1.651521303,0.899478557,-0.044141246,-0.749339391,-0.369439661
2011/8/1,-1.342858166,-0.72220012,-1.79519354,0.929182132,-0.044141246,-0.580526317,-0.369439661
2011/9/1,-1.337979036,-0.72220012,-1.797261092,0.953635544,-0.044141246,-0.509447128,-0.369439661
2011/10/1,-1.371073134,-0.866733388,-1.685737015,0.946896804,0.825833923,-0.484273249,-0.369439661
2011/11/1,-1.384240786,-0.866733388,-1.376899313,0.956865939,0.825833923,-0.229572823,-0.369439661
2011/12/1,-1.370883168,-0.866733388,-1.376899313,0.980182845,0.825833923,0.042897401,-0.369439661
2012/1/1,-1.34866713,-1.069921036,-1.376899313,0.985624486,-0.335402079,0.32573334,-0.369439661
2012/2/1,-1.369843354,-1.069921036,-1.345432621,1.000812902,-0.335402079,0.188017411,-0.369439661
2012/3/1,-1.391279531,-1.069921036,-1.795485414,1.004228597,-0.335402079,0.247250069,-0.369439661
2012/4/1,-1.298306112,-0.723925744,-1.640147014,1.005155097,0.349917529,0.513797027,-0.369439661
2012/5/1,-1.244615687,-0.723925744,-1.504668109,1.008218722,0.349917529,0.926944812,-0.369439661
2012/6/1,-1.215260922,-0.723925744,-1.258000541,1.017279888,0.349917529,0.891405217,-0.369439661
2012/7/1,-1.192375004,-0.923145063,-1.161859072,1.017409597,-0.209760151,1.294187287,-0.369439661
2012/8/1,-1.180797069,-0.923145063,-1.023031636,1.03349363,-0.209760151,1.27641749,-0.369439661
2012/9/1,-1.197654062,-0.923145063,-1.05993556,1.01920083,-0.209760151,1.051333392,-0.369439661
2012/10/1,-1.178257522,-0.562729377,-1.237267733,1.027829629,-0.392512046,0.857346439,-0.369439661
2012/11/1,-1.196894198,-0.562729377,-1.822277612,1.036161949,-0.392512046,0.926944812,-0.369439661
2012/12/1,-1.141184134,-0.562729377,-1.822277612,1.035111916,-0.392512046,0.734438675,-0.369439661
2013/1/1,-1.16665959,-0.876871365,-1.822277612,1.055216956,0.146225312,0.275385581,-0.369439661
2013/2/1,-1.143263763,-0.876871365,-1.77666819,1.059330614,0.146225312,-0.325825891,-0.369439661
2013/3/1,-1.156761355,-0.876871365,-0.766771146,1.001992645,0.146225312,-0.266593233,-0.369439661
2013/4/1,-1.064367833,-0.344529102,-0.858501327,1.016804284,0.393701837,-0.094818527,-0.369439661
2013/5/1,-1.049350511,-0.344529102,-0.949762246,1.050263272,0.393701837,-0.054836484,-0.369439661
2013/6/1,-1.0258647,-0.344529102,-0.947718764,1.030769721,0.393701837,-0.109626692,-0.369439661
2013/7/1,-0.935200869,-0.75094942,-0.788263499,1.026822833,0.407027496,-0.316940992,-0.369439661
2013/8/1,-0.905726126,-0.75094942,-0.792927912,1.043178639,0.407027496,-0.244380987,-0.369439661
2013/9/1,-0.854865197,-0.75094942,-0.867977716,1.031134144,0.407027496,0.102130058,-0.369439661
2013/10/1,-0.859674339,-0.963598502,-0.709449563,1.021232952,0.488885116,-0.025220155,-0.369439661
2013/11/1,-0.820021411,-0.963598502,-0.798623635,0.996656007,0.488885116,0.183574962,-0.369439661
2013/12/1,-0.731407215,-0.963598502,-0.798623635,1.000386712,0.488885116,0.19690231,-0.369439661
2014/1/1,-0.690714472,-1.111816826,-0.798623635,1.013098286,1.459754559,0.419024775,-0.369439661
2014/2/1,-0.668818377,-1.111816826,-0.940290115,1.002468248,1.459754559,0.456045186,-0.369439661
2014/3/1,-0.631095105,-1.111816826,-0.302284111,0.984111203,1.459754559,0.306482726,-0.369439661
2014/4/1,-0.481921709,-0.562555742,-0.11140079,0.966050638,0.68496267,0.460487635,-0.369439661
2014/5/1,-0.403055774,-0.562555742,-0.00816167,0.966507712,0.68496267,0.670763569,-0.369439661
2014/6/1,-0.35513432,-0.562555742,0.023286694,0.961529321,0.68496267,0.921021546,-0.369439661
2014/7/1,-0.231446379,-0.506073639,-0.00829585,0.959855445,0.083404348,1.180164422,-0.369439661
2014/8/1,-0.167047864,-0.506073639,0.070442827,0.947100634,0.083404348,1.077988088,-0.369439661
2014/9/1,-0.178655794,-0.506073639,0.07733959,0.945185868,0.083404348,1.221627282,-0.369439661
2014/10/1,-0.19331318,-0.977743714,-0.10658663,0.934487887,-0.29161777,1.279379123,-0.369439661
2014/11/1,-0.209340322,-0.977743714,-0.466703061,0.896414931,-0.29161777,1.231992997,-0.369439661
2014/12/1,-0.186914321,-0.977743714,-0.466703061,0.904901667,-0.29161777,1.291225654,-0.369439661
2015/1/1,-0.187454225,-0.923111347,-0.466703061,0.90674849,3.26252586,1.822838754,-0.369439661
2015/2/1,-0.1668479,-0.923111347,-0.384711719,0.889978848,3.26252586,2.50105268,-0.369439661
2015/3/1,-0.167567772,-0.923111347,0.089318761,0.852813862,3.26252586,2.977875571,-0.369439661
2015/4/1,-0.106138727,-0.626340733,-0.044729759,0.855333941,0.921017201,3.023780881,-0.369439661
2015/5/1,-0.048638982,-0.626340733,-0.14685178,0.84929934,0.921017201,3.017857615,-0.369439661
2015/6/1,-0.009485964,-0.626340733,0.007917884,0.854463031,0.921017201,3.057839659,-0.369439661
2015/7/1,0.120760807,-0.673939634,0.098226538,0.840763191,1.256062343,3.442851931,-0.369439661
2015/8/1,0.1690222,-0.673939634,0.216589723,0.811751401,1.256062343,3.242941713,-0.369439661
2015/9/1,0.20731537,-0.673939634,0.127642908,0.813190564,1.256062343,2.740944942,-0.369439661
2015/10/1,0.21539393,-0.388587478,0.25975091,0.797106532,-0.049852242,2.729098411,-0.369439661
2015/11/1,0.268914385,-0.388587478,0.214121552,0.773950219,-0.049852242,3.485795608,-0.369439661
2015/12/1,0.317815663,-0.388587478,0.214121552,0.775803218,-0.049852242,2.894949851,-0.369439661
2016/1/1,0.397151514,-0.269357327,0.214121552,0.761671012,0.723035982,2.136771837,-0.369439661
2016/2/1,0.400290954,-0.269357327,0.167148039,0.769083008,0.723035982,1.593312206,-0.369439661
2016/3/1,0.474027804,-0.269357327,0.410274516,0.750651843,0.723035982,1.473366075,-0.369439661
2016/4/1,0.435714637,-0.307623627,0.487940247,0.692850624,0.507921771,1.196453402,-0.369439661
2016/5/1,0.504392389,-0.307623627,0.485236552,0.701287947,0.507921771,1.528156283,-0.369439661
2016/6/1,0.511191176,-0.307623627,0.413107191,0.689725232,0.507921771,1.231992997,-0.369439661
2016/7/1,0.590507031,-0.472582946,0.376801902,0.649904281,-0.577167607,0.103610875,-0.369439661
2016/8/1,0.552273849,-0.472582946,0.29964635,0.639947499,-0.577167607,-0.188109963,-0.534016029
2016/9/1,0.550234213,-0.472582946,0.364311574,0.628285958,-0.577167607,-0.136281387,-0.534016029
2016/10/1,0.542115661,-0.795898824,0.398442641,0.590077116,-0.171686839,-0.92407573,-0.534016029
2016/11/1,0.540455957,-0.795898824,0.210134351,0.563356869,-0.171686839,-0.416155693,-0.534016029
2016/12/1,0.556723056,-0.795898824,0.210134351,0.563307455,-0.171686839,0.035493319,-0.534016029
2017/1/1,0.591456861,-0.109014528,0.210134351,0.538681097,-0.400126708,-0.297690379,-0.534016029
2017/2/1,0.603214764,-0.109014528,0.280586664,0.528508132,-0.400126708,-0.121473223,-0.534016029
2017/3/1,0.589567198,-0.109014528,0.404948331,0.504172077,-0.400126708,-0.393943447,-0.534016029
2017/4/1,0.636108898,-0.289605065,0.472277399,0.454764943,1.435006907,-0.023739338,-0.534016029
