Date,Average_Housing_Price,Weekly_Earnings,Employment_Rate,Benefit Caseload,Housing Supply,Euro Rate,Interest Rate
2009/1/1,118624,476.9509769,58.20665185,537465,437,1.0919,1.5
2009/2/1,118127,476.9509769,58.15520528,544880,437,1.1264,1
2009/3/1,116002,476.9509769,57.2322937,547301,437,1.0867,0.5
2009/4/1,118897,468.0169888,57.2043368,551560,493,1.1157,0.5
2009/5/1,119324,468.0169888,56.98624479,556935,493,1.1295,0.5
2009/6/1,119914,468.0169888,56.71582269,562095,493,1.1682,0.5
2009/7/1,121746,488.8025463,56.48353502,566101,590,1.1622,0.5
2009/8/1,122580,488.8025463,56.46885533,569563,590,1.1597,0.5
2009/9/1,123166,488.8025463,56.36353723,573128,590,1.1212,0.5
2009/10/1,123974,475.6832845,56.53517329,576188,547,1.0928,0.5
2009/11/1,124385,475.6832845,57.41934776,577961,547,1.1126,0.5
2009/12/1,126336,475.6832845,57.41934776,581713,547,1.1127,0.5
2010/1/1,121963,504.1470192,57.41934776,588300,883,1.1327,0.5
2010/2/1,123852,504.1470192,57.24562476,593959,883,1.1415,0.5
2010/3/1,122184,504.1470192,56.90363543,596749,883,1.1092,0.5
2010/4/1,124848,488.259357,56.64399584,598999,913,1.1436,0.5
2010/5/1,124971,488.259357,56.79939256,600535,913,1.1685,0.5
2010/6/1,125368,488.259357,57.00630872,602691,913,1.2082,0.5
2010/7/1,124676,490.7956104,57.05324614,604375,680,1.1959,0.5
2010/8/1,126322,490.7956104,57.0254027,604306,680,1.2132,0.5
2010/9/1,125008,490.7956104,57.00931331,607011,680,1.1901,0.5
2010/10/1,123923,483.5135822,56.84678875,606230,713,1.1412,0.5
2010/11/1,122092,483.5135822,56.29139677,607920,713,1.1701,0.5
2010/12/1,122231,483.5135822,56.29139677,610430,713,1.1802,0.5
2011/1/1,120876,482.6187714,56.29139677,611990,723,1.1817,0.5
2011/2/1,120001,482.6187714,56.62019744,616011,723,1.1815,0.5
2011/3/1,118899,482.6187714,56.79257477,617449,723,1.1527,0.5
2011/4/1,120511,480.0616405,56.50195527,616499,880,1.1331,0.5
2011/5/1,119816,480.0616405,56.24867659,617163,880,1.1403,0.5
2011/6/1,119566,480.0616405,56.16736445,620084,880,1.1261,0.5
2011/7/1,121233,481.496995,56.36484552,619941,1063,1.1308,0.5
2011/8/1,122225,481.496995,56.65453926,621579,1063,1.1422,0.5
2011/9/1,121416,481.496995,56.53229878,623157,1063,1.147,0.5
