Date,Average_Housing_Price,Weekly_Earnings,Employment_Rate,Benefit Caseload,Housing Supply,Euro Rate,Interest Rate
2009/1/1,-1.025890924,-1.104066324,0.031666197,0.354520111,-1.771024543,-1.321155187,0.292600827
2009/2/1,-1.042840519,-1.104066324,-0.004609283,0.410366509,-1.771024543,-0.810063401,-0.037066188
2009/3/1,-1.115311121,-1.104066324,-0.655363262,0.428600377,-1.771024543,-1.398189311,-0.366733203
2009/4/1,-1.016580583,-1.215334749,-0.675075946,0.460677222,-1.651655938,-0.968575926,-0.366733203
2009/5/1,-1.002018255,-1.215334749,-0.828854755,0.501159271,-1.651655938,-0.764139212,-0.366733203
2009/6/1,-0.981897006,-1.215334749,-1.019532022,0.540022037,-1.651655938,-0.190827557,-0.366733203
2009/7/1,-0.919418821,-0.95646086,-1.183320329,0.570193402,-1.444892462,-0.279713085,-0.366733203
2009/8/1,-0.890976241,-0.95646086,-1.193671122,0.596267607,-1.444892462,-0.316748721,-0.366733203
2009/9/1,-0.870991407,-0.95646086,-1.267931944,0.623117561,-1.444892462,-0.887097525,-0.366733203
2009/10/1,-0.843435526,-1.119854809,-1.14690968,0.646164085,-1.536550497,-1.307822357,-0.366733203
2009/11/1,-0.829418859,-1.119854809,-0.523469615,0.659517512,-1.536550497,-1.014500115,-0.366733203
2009/12/1,-0.762882321,-1.119854809,-0.523469615,0.687775865,-1.536550497,-1.01301869,-0.366733203
2010/1/1,-0.912018293,-0.765353001,-0.523469615,0.737386144,-0.820338869,-0.716733597,-0.366733203
2010/2/1,-0.847596191,-0.765353001,-0.645963401,0.780007151,-0.820338869,-0.586368156,-0.366733203
2010/3/1,-0.904481351,-0.765353001,-0.887103422,0.801020159,-0.820338869,-1.064868581,-0.366733203
2010/4/1,-0.813628794,-0.963226015,-1.070177836,0.817966132,-0.756391402,-0.555258221,-0.366733203
2010/5/1,-0.809434025,-0.963226015,-0.960606089,0.829534584,-0.756391402,-0.186383281,-0.366733203
2010/6/1,-0.795894812,-0.963226015,-0.814707481,0.845772592,-0.756391402,0.401742629,-0.366733203
2010/7/1,-0.81949465,-0.931638227,-0.781611448,0.858455712,-1.253050061,0.219527297,-0.366733203
2010/8/1,-0.763359774,-0.931638227,-0.801244129,0.857936036,-1.253050061,0.475813902,-0.366733203
2010/9/1,-0.808172184,-0.931638227,-0.812588916,0.878308862,-1.253050061,0.13360462,-0.366733203
2010/10/1,-0.845174821,-1.022332305,-0.927186572,0.872426726,-1.182707847,-0.590812432,-0.366733203
2010/11/1,-0.907618902,-1.022332305,-1.318798888,0.885155035,-1.182707847,-0.162680473,-0.366733203
2010/12/1,-0.902878472,-1.022332305,-1.318798888,0.90405921,-1.182707847,-0.013056501,-0.366733203
2011/1/1,-0.949089138,-1.033476733,-1.318798888,0.915808419,-1.161392025,0.009164881,-0.366733203
2011/2/1,-0.978929974,-1.033476733,-1.08695832,0.946092757,-1.161392025,0.00620203,-0.366733203
2011/3/1,-1.016512375,-1.033476733,-0.965413379,0.956923117,-1.161392025,-0.420448504,-0.366733203
2011/4/1,-0.961537029,-1.06532454,-1.170332031,0.94976815,-0.826733615,-0.710807895,-0.366733203
2011/5/1,-0.985239179,-1.06532454,-1.348921305,0.954769095,-0.826733615,-0.604145262,-0.366733203
2011/6/1,-0.993765132,-1.06532454,-1.40625529,0.976768735,-0.826733615,-0.814507678,-0.366733203
2011/7/1,-0.936914077,-1.047447906,-1.267009456,0.975691724,-0.436654067,-0.744880681,-0.366733203
2011/8/1,-0.903083095,-1.047447906,-1.062743567,0.988028393,-0.436654067,-0.575998178,-0.366733203
2011/9/1,-0.930673079,-1.047447906,-1.148936525,0.999913169,-0.436654067,-0.504889755,-0.366733203
2011/10/1,-0.955978108,-1.202177499,-1.039363812,0.991997517,-1.459813537,-0.479705523,-0.366733203
2011/11/1,-1.02988107,-1.202177499,-0.721750554,1.017552045,-1.459813537,-0.224900343,-0.366733203
2011/12/1,-1.007884111,-1.202177499,-0.721750554,1.024737138,-1.459813537,0.047681943,-0.366733203
2012/1/1,-1.079570325,-0.868308595,-0.721750554,1.055330269,-1.024970762,0.330634207,-0.366733203
2012/2/1,-1.031006496,-0.868308595,-0.770597717,1.081261375,-1.024970762,0.192861638,-0.366733203
2012/3/1,-1.014841289,-0.868308595,-1.820549302,1.090427264,-1.024970762,0.252118657,-0.366733203
2012/4/1,-1.000108441,-0.702649667,-1.528697927,1.085027147,-0.862970513,0.518775241,-0.366733203
2012/5/1,-1.02630017,-0.702649667,-1.247994986,1.097363815,-0.862970513,0.932092945,-0.366733203
2012/6/1,-0.951646924,-0.702649667,-0.934026863,1.111033568,-0.862970513,0.896538734,-0.366733203
2012/7/1,-0.976406292,-0.874163646,-0.851675562,1.118376823,-0.528312103,1.299486461,-0.366733203
2012/8/1,-0.941313469,-0.874163646,-0.971304367,1.133379658,-0.528312103,1.281709355,-0.366733203
2012/9/1,-0.946599559,-0.874163646,-0.866744477,1.122112469,-0.528312103,1.056532685,-0.366733203
2012/10/1,-1.040964809,-0.828495301,-1.20941109,1.121878991,-1.06120766,0.862465949,-0.366733203
2012/11/1,-0.979850777,-0.828495301,-1.641609144,1.1233853,-1.06120766,0.932092945,-0.366733203
2012/12/1,-1.01351124,-0.828495301,-1.641609144,1.115944134,-1.06120766,0.739507635,-0.366733203
2013/1/1,-1.117732491,-0.76205028,-1.641609144,1.141355563,-0.854444184,0.280265741,-0.366733203
2013/2/1,-1.037656739,-0.76205028,-1.943285448,1.148563251,-0.854444184,-0.321192998,-0.366733203
2013/3/1,-1.041817404,-0.76205028,-1.39282708,1.112923985,-0.854444184,-0.261935979,-0.366733203
2013/4/1,-1.024492668,-0.704544677,-1.256357172,1.116403558,-0.1808642,-0.090090625,-0.366733203
2013/5/1,-1.006417647,-0.704544677,-1.271651384,1.129214715,-0.1808642,-0.050092138,-0.366733203
2013/6/1,-0.958331271,-0.704544677,-1.275974335,1.10948207,-0.1808642,-0.10490488,-0.366733203
2013/7/1,-0.954750371,-0.593913887,-1.461864759,1.106401668,-0.059364013,-0.312304445,-0.366733203
2013/8/1,-0.897012616,-0.593913887,-1.798710078,1.110709711,-0.059364013,-0.239714597,-0.366733203
2013/9/1,-0.900968658,-0.593913887,-1.582611791,1.087376988,-0.059364013,0.106938962,-0.366733203
2013/10/1,-0.974666997,-0.818444876,-1.260375142,1.084635506,-0.662601784,-0.020463628,-0.366733203
2013/11/1,-0.944144085,-0.818444876,-1.069777044,1.060248367,-0.662601784,0.188417362,-0.366733203
2013/12/1,-0.902810264,-0.818444876,-1.069777044,1.04943307,-0.662601784,0.201750191,-0.366733203
2014/1/1,-0.952329,-0.440480499,-1.069777044,1.062123722,-0.278916982,0.423964011,-0.366733203
2014/2/1,-0.902162292,-0.440480499,-1.310794771,1.061656766,-0.278916982,0.460999648,-0.366733203
2014/3/1,-0.943700735,-0.440480499,-1.24492747,1.048484096,-0.278916982,0.311375676,-0.366733203
2014/4/1,-0.830885323,-0.836747836,-1.145484949,1.028706262,0.175110032,0.465443924,-0.366733203
2014/5/1,-0.814413182,-0.836747836,-0.956855145,1.032615133,0.175110032,0.67580634,-0.366733203
2014/6/1,-0.759369628,-0.836747836,-1.077171101,1.025716239,0.175110032,0.926167244,-0.366733203
2014/7/1,-0.735292336,-0.521651011,-0.936258211,1.010713403,0.303004966,1.1854167,-0.366733203
2014/8/1,-0.684477656,-0.521651011,-0.583339401,0.994294638,0.303004966,1.083198343,-0.366733203
2014/9/1,-0.690172992,-0.521651011,-0.53139005,0.982409861,0.303004966,1.226896613,-0.366733203
2014/10/1,-0.71135146,-0.69122446,-0.547336333,0.963076388,-0.918391651,1.284672206,-0.366733203
2014/11/1,-0.727823602,-0.69122446,-1.571218648,0.924620325,-0.918391651,1.237266591,-0.366733203
2014/12/1,-0.733382523,-0.69122446,-1.571218648,0.901219818,-0.918391651,1.29652361,-0.366733203
